order_id,customer,amount,status,created_at,updated_at
ORD-1000,Gamma Labs,2164.58,Pending,2024-01-05 01:00:00,2024-01-05 13:00:00
ORD-1001,Gamma Labs,3340.71,Processing,2024-01-05 17:00:00,2024-01-07 10:00:00
ORD-1002,Alpha Inc,2213.81,Shipped,2024-01-06 14:00:00,2024-01-07 00:00:00
ORD-1003,Gamma Labs,1708.68,Processing,2024-01-06 01:00:00,2024-01-07 18:00:00
ORD-1004,Alpha Inc,4930.81,Processing,2024-01-10 01:00:00,2024-01-11 05:00:00
ORD-1005,Gamma Labs,3667.45,Pending,2024-01-09 07:00:00,2024-01-11 06:00:00
ORD-1006,Beta Co,4158.42,Processing,2024-01-03 05:00:00,2024-01-05 10:00:00
ORD-1007,Alpha Inc,694.24,Shipped,2024-01-02 03:00:00,2024-01-04 09:00:00
ORD-1008,Alpha Inc,1885.72,Shipped,2024-01-02 14:00:00,2024-01-04 18:00:00
ORD-1009,Delta Printing,3924.78,Processing,2024-01-10 10:00:00,2024-01-11 22:00:00
ORD-1010,Gamma Labs,2978.96,Shipped,2024-01-04 00:00:00,2024-01-05 04:00:00
ORD-1011,Delta Printing,2066.51,Shipped,2024-01-04 03:00:00,2024-01-05 17:00:00
ORD-1012,Gamma Labs,4201.19,Processing,2024-01-09 01:00:00,2024-01-10 19:00:00
ORD-1013,Gamma Labs,4452.49,Pending,2024-01-04 14:00:00,2024-01-05 01:00:00
ORD-1014,Beta Co,1975.07,Shipped,2024-01-04 23:00:00,2024-01-05 22:00:00
ORD-1015,Gamma Labs,2460.91,Shipped,2024-01-02 18:00:00,2024-01-03 21:00:00
ORD-1016,Beta Co,924.82,Pending,2024-01-08 16:00:00,2024-01-11 14:00:00
ORD-1017,Gamma Labs,3156.17,Shipped,2024-01-04 08:00:00,2024-01-06 10:00:00
ORD-1018,Beta Co,943.6,Processing,2024-01-09 04:00:00,2024-01-10 19:00:00
MISSING-19,Gamma Labs,745.04,Processing,2024-01-10 07:00:00,2024-01-11 19:00:00
ORD-1020,Delta Printing,4307.22,Processing,2024-01-06 11:00:00,2024-01-07 01:00:00
ORD-1021,Beta Co,1775.85,Shipped,2024-01-07 02:00:00,2024-01-09 16:00:00
ORD-1022,Gamma Labs,4985.12,Shipped,2024-01-03 18:00:00,2024-01-06 15:00:00
ORD-1023,Gamma Labs,2697.6186966244545,Shipped,2024-01-10 13:00:00,2024-01-12 16:00:00
ORD-1024,Beta Co,3925.81,Shipped,2024-01-10 09:00:00,2024-01-12 07:00:00
